page_number,section_id,indicator,region_name,year_2018,year_2019,year_2020,year_2021,year_2022,year_2023
51,5.2,Once capacity (beds) of hotels and similar establishments (units),rayonu,4.0,432.0,4.0,561.0,4.0,701.0
51,5.2,Once capacity (beds) of hotels and similar establishments (units),Balakən rayonu,208.0,208.0,208.0,208.0,208.0,208.0
51,5.2,Once capacity (beds) of hotels and similar establishments (units),Qax rayonu,606.0,606.0,746.0,746.0,862.0,862.0
51,5.2,Once capacity (beds) of hotels and similar establishments (units),Qəbələ rayonu,2.0,539.0,2.0,632.0,2.0,632.0
51,5.2,Once capacity (beds) of hotels and similar establishments (units),Oğuz rayonu,138.0,138.0,138.0,138.0,138.0,138.0
51,5.2,Once capacity (beds) of hotels and similar establishments (units),Şəki rayonu,546.0,582.0,582.0,582.0,786.0,786.0
51,5.2,Once capacity (beds) of hotels and similar establishments (units),Zaqatala rayonu,395.0,395.0,395.0,395.0,395.0,485.0
51,5.2,Once capacity (beds) of hotels and similar establishments (units),rayonu,,,,,,
51,5.2,Once capacity (beds) of hotels and similar establishments (units),Cəbrayıl rayonu,,,,,,
51,5.2,Once capacity (beds) of hotels and similar establishments (units),Kəlbəcər rayonu,,,,,,
51,5.2,Once capacity (beds) of hotels and similar establishments (units),Qubadlı rayonu,,,,,,
51,5.2,Once capacity (beds) of hotels and similar establishments (units),Laçın rayonu,,,,,,
51,5.2,Once capacity (beds) of hotels and similar establishments (units),Zəngilan rayonu,,,,,,
51,5.2,Once capacity (beds) of hotels and similar establishments (units),rayonu,439.0,439.0,439.0,439.0,469.0,404.0
51,5.2,Once capacity (beds) of hotels and similar establishments (units),Şirvan şəhəri,195.0,195.0,195.0,195.0,231.0,166.0
51,5.2,Once capacity (beds) of hotels and similar establishments (units),Biləsuvar rayonu,102.0,102.0,102.0,102.0,96.0,96.0
51,5.2,Once capacity (beds) of hotels and similar establishments (units),Hacıqabul rayonu,,,,,,
51,5.2,Once capacity (beds) of hotels and similar establishments (units),Neftçala rayonu,,,,,,
51,5.2,Once capacity (beds) of hotels and similar establishments (units),Salyan rayonu,142.0,142.0,142.0,142.0,142.0,142.0
51,5.2,Once capacity (beds) of hotels and similar establishments (units),Ölkə üzrə - c ə m i,22.0,192.0,23.0,865.0,24.0,195.0
51,5.2,Once capacity (beds) of hotels and similar establishments (units),Bakı şəhəri,10.0,233.0,11.0,329.0,11.0,533.0
51,5.2,Once capacity (beds) of hotels and similar establishments (units),Binəqədi rayonu,322.0,424.0,424.0,468.0,578.0,732.0
51,5.2,Once capacity (beds) of hotels and similar establishments (units),Xətai rayonu,445.0,537.0,590.0,629.0,644.0,659.0
51,5.2,Once capacity (beds) of hotels and similar establishments (units),Xəzər rayonu,375.0,475.0,475.0,513.0,528.0,538.0
51,5.2,Once capacity (beds) of hotels and similar establishments (units),Qaradağ rayonu,207.0,90.0,90.0,90.0,138.0,138.0
51,5.2,Once capacity (beds) of hotels and similar establishments (units),Nərimanov rayonu,1.0,70.0,1.0,825.0,1.0,913.0
51,5.2,Once capacity (beds) of hotels and similar establishments (units),Nəsimi rayonu,2.0,657.0,2.0,806.0,2.0,819.0
51,5.2,Once capacity (beds) of hotels and similar establishments (units),Nizami rayonu,283.0,513.0,521.0,551.0,551.0,551.0
51,5.2,Once capacity (beds) of hotels and similar establishments (units),Pirallahı rayonu,,,,,,
51,5.2,Once capacity (beds) of hotels and similar establishments (units),Sabunçu rayonu,371.0,311.0,329.0,329.0,329.0,402.0
51,5.2,Once capacity (beds) of hotels and similar establishments (units),Səbail rayonu,3.0,11.0,3.0,115.0,3.0,121.0
51,5.2,Once capacity (beds) of hotels and similar establishments (units),Suraxanı rayonu,,,18.0,18.0,33.0,33.0
51,5.2,Once capacity (beds) of hotels and similar establishments (units),Yasamal rayonu,1.0,492.0,1.0,233.0,1.0,233.0
52,5.3,Number of rooms in hotels and similar establishments (units),Respublikası,657.0,657.0,657.0,657.0,657.0,544.0
52,5.3,Number of rooms in hotels and similar establishments (units),rayonu,575.0,610.0,610.0,610.0,620.0,629.0
52,5.3,Number of rooms in hotels and similar establishments (units),Sumqayıt şəhəri,221.0,256.0,256.0,256.0,266.0,266.0
52,5.3,Number of rooms in hotels and similar establishments (units),Abşeron rayonu,301.0,301.0,301.0,301.0,301.0,310.0
52,5.3,Number of rooms in hotels and similar establishments (units),Xızı rayonu,53.0,53.0,53.0,53.0,53.0,53.0
52,5.3,Number of rooms in hotels and similar establishments (units),rayonu,736.0,736.0,784.0,967.0,967.0,967.0
52,5.3,Number of rooms in hotels and similar establishments (units),Ağsu rayonu,45.0,45.0,45.0,45.0,45.0,45.0
52,5.3,Number of rooms in hotels and similar establishments (units),İsmayıllı rayonu,325.0,325.0,373.0,556.0,556.0,556.0
52,5.3,Number of rooms in hotels and similar establishments (units),Qobustan rayonu,,,,,,
52,5.3,Number of rooms in hotels and similar establishments (units),Şamaxı rayonu,366.0,366.0,366.0,366.0,366.0,366.0
52,5.3,Number of rooms in hotels and similar establishments (units),rayonu,1.0,107.0,1.0,136.0,1.0,136.0
52,5.3,Number of rooms in hotels and similar establishments (units),Gəncə şəhəri,659.0,688.0,688.0,949.0,997.0,1.0
52,5.3,Number of rooms in hotels and similar establishments (units),Naftalan şəhəri,302.0,302.0,302.0,302.0,302.0,561.0
52,5.3,Number of rooms in hotels and similar establishments (units),Daşkəsən rayonu,15.0,15.0,15.0,15.0,15.0,15.0
52,5.3,Number of rooms in hotels and similar establishments (units),Goranboy rayonu,59.0,59.0,59.0,59.0,77.0,77.0
52,5.3,Number of rooms in hotels and similar establishments (units),Göygöl rayonu,72.0,72.0,72.0,72.0,72.0,167.0
52,5.3,Number of rooms in hotels and similar establishments (units),Samux rayonu,,,,,,
52,5.3,Number of rooms in hotels and similar establishments (units),rayonu,106.0,132.0,132.0,278.0,342.0,342.0
52,5.3,Number of rooms in hotels and similar establishments (units),Xankəndi şəhəri,,,,,,
52,5.3,Number of rooms in hotels and similar establishments (units),Ağcabədi rayonu,30.0,56.0,56.0,56.0,96.0,96.0
52,5.3,Number of rooms in hotels and similar establishments (units),Ağdərə rayonu,,,,,,
52,5.3,Number of rooms in hotels and similar establishments (units),Bərdə rayonu,51.0,51.0,51.0,51.0,51.0,51.0
