year,direction,direction_en,transport_type,value_thousands,value
2012,gedən,outgoing,cəmi,3874.4,3874400
2013,gedən,outgoing,cəmi,4284.7,4284700
2014,gedən,outgoing,cəmi,4244.3,4244300
2015,gedən,outgoing,cəmi,4095.8,4095800
2016,gedən,outgoing,cəmi,4281.8,4281800
2017,gedən,outgoing,cəmi,4108.9,4108900
2018,gedən,outgoing,cəmi,4908.1,4908100
2019,gedən,outgoing,cəmi,5567.7,5567700
2020,gedən,outgoing,cəmi,1164.6,1164600
2021,gedən,outgoing,cəmi,974.5,974500
2022,gedən,outgoing,cəmi,1489.5,1489500
2023,gedən,outgoing,cəmi,1868.7,1868700
2024,gedən,outgoing,cəmi,2158.9,2158900
