file,title,region,year,value
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Nizami rayonu,2015,22.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Nizami rayonu,2016,1993.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Nizami rayonu,2017,401.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Nizami rayonu,2018,773.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Nizami rayonu,2019,433.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Nizami rayonu,2020,39.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Nizami rayonu,2021,1075.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Nizami rayonu,2022,1023.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Nizami rayonu,2023,1132.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Nizami rayonu,2024,1710.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Sabunçu rayonu,2006,30.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Sabunçu rayonu,2007,666.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Sabunçu rayonu,2008,734.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Sabunçu rayonu,2009,617.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Sabunçu rayonu,2010,290.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Sabunçu rayonu,2011,387.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Sabunçu rayonu,2012,802.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Sabunçu rayonu,2013,263.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Sabunçu rayonu,2014,908.0
