file,title,indicator,year,value
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",əcnəbilər və vətəndaşlığı olmayan şəxslər,2024,2626.7
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Ölkə ərazisini tərk edənlərin sayı,2006,3094.5
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Ölkə ərazisini tərk edənlərin sayı,2007,2941.5
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Ölkə ərazisini tərk edənlərin sayı,2008,4045.5
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Ölkə ərazisini tərk edənlərin sayı,2009,4186.8
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Ölkə ərazisini tərk edənlərin sayı,2010,5131.3
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Ölkə ərazisini tərk edənlərin sayı,2011,5765.6
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Ölkə ərazisini tərk edənlərin sayı,2012,6352.4
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Ölkə ərazisini tərk edənlərin sayı,2013,6794.0
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Ölkə ərazisini tərk edənlərin sayı,2014,6545.6
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Ölkə ərazisini tərk edənlərin sayı,2015,6115.9
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Ölkə ərazisini tərk edənlərin sayı,2016,6531.5
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Ölkə ərazisini tərk edənlərin sayı,2017,6801.1
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Ölkə ərazisini tərk edənlərin sayı,2018,7763.5
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Ölkə ərazisini tərk edənlərin sayı,2019,8731.6
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Ölkə ərazisini tərk edənlərin sayı,2020,2013.2
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Ölkə ərazisini tərk edənlərin sayı,2021,1732.7
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Ölkə ərazisini tərk edənlərin sayı,2022,3054.7
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Ölkə ərazisini tərk edənlərin sayı,2023,3952.3
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Ölkə ərazisini tərk edənlərin sayı,2024,4779.9
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Azərbaycan vətəndaşları,2006,1835.9
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Azərbaycan vətəndaşları,2007,1631.3
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Azərbaycan vətəndaşları,2008,2162.4
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Azərbaycan vətəndaşları,2009,2362.5
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Azərbaycan vətəndaşları,2010,3175.6
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Azərbaycan vətəndaşları,2011,3550.2
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Azərbaycan vətəndaşları,2012,3874.4
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Azərbaycan vətəndaşları,2013,4284.7
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Azərbaycan vətəndaşları,2014,4244.3
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Azərbaycan vətəndaşları,2015,4095.8
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Azərbaycan vətəndaşları,2016,4281.8
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Azərbaycan vətəndaşları,2017,4108.9
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Azərbaycan vətəndaşları,2018,4908.1
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Azərbaycan vətəndaşları,2019,5567.7
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Azərbaycan vətəndaşları,2020,1164.6
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Azərbaycan vətəndaşları,2021,974.5
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Azərbaycan vətəndaşları,2022,1489.5
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Azərbaycan vətəndaşları,2023,1868.7
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Azərbaycan vətəndaşları,2024,2158.9
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",əcnəbilər və vətəndaşlığı olmayan şəxslər,2006,1258.6
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",əcnəbilər və vətəndaşlığı olmayan şəxslər,2007,1310.2
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",əcnəbilər və vətəndaşlığı olmayan şəxslər,2008,1883.1
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",əcnəbilər və vətəndaşlığı olmayan şəxslər,2009,1824.3
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",əcnəbilər və vətəndaşlığı olmayan şəxslər,2010,1955.7
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",əcnəbilər və vətəndaşlığı olmayan şəxslər,2011,2215.4
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",əcnəbilər və vətəndaşlığı olmayan şəxslər,2012,2478.0
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",əcnəbilər və vətəndaşlığı olmayan şəxslər,2013,2509.3
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",əcnəbilər və vətəndaşlığı olmayan şəxslər,2014,2301.3
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",əcnəbilər və vətəndaşlığı olmayan şəxslər,2015,2020.1
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",əcnəbilər və vətəndaşlığı olmayan şəxslər,2016,2249.7
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",əcnəbilər və vətəndaşlığı olmayan şəxslər,2017,2692.2
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",əcnəbilər və vətəndaşlığı olmayan şəxslər,2018,2855.4
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",əcnəbilər və vətəndaşlığı olmayan şəxslər,2019,3163.9
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",əcnəbilər və vətəndaşlığı olmayan şəxslər,2020,848.6
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",əcnəbilər və vətəndaşlığı olmayan şəxslər,2021,758.2
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",əcnəbilər və vətəndaşlığı olmayan şəxslər,2022,1565.2
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",əcnəbilər və vətəndaşlığı olmayan şəxslər,2023,2083.6
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",əcnəbilər və vətəndaşlığı olmayan şəxslər,2024,2621.0
002_2.xls,2.2 Ölkəyə gələn və gedən vətəndaşların nəqliyyat növlərindən istifadə üzrə sayı,avtomobil,2006,767.3
002_2.xls,2.2 Ölkəyə gələn və gedən vətəndaşların nəqliyyat növlərindən istifadə üzrə sayı,avtomobil,2007,814.3
002_2.xls,2.2 Ölkəyə gələn və gedən vətəndaşların nəqliyyat növlərindən istifadə üzrə sayı,avtomobil,2008,989.3
002_2.xls,2.2 Ölkəyə gələn və gedən vətəndaşların nəqliyyat növlərindən istifadə üzrə sayı,avtomobil,2009,638.8
002_2.xls,2.2 Ölkəyə gələn və gedən vətəndaşların nəqliyyat növlərindən istifadə üzrə sayı,avtomobil,2010,720.4
002_2.xls,2.2 Ölkəyə gələn və gedən vətəndaşların nəqliyyat növlərindən istifadə üzrə sayı,avtomobil,2011,792.2
002_2.xls,2.2 Ölkəyə gələn və gedən vətəndaşların nəqliyyat növlərindən istifadə üzrə sayı,avtomobil,2012,891.7
002_2.xls,2.2 Ölkəyə gələn və gedən vətəndaşların nəqliyyat növlərindən istifadə üzrə sayı,avtomobil,2013,928.2
002_2.xls,2.2 Ölkəyə gələn və gedən vətəndaşların nəqliyyat növlərindən istifadə üzrə sayı,avtomobil,2014,748.9
002_2.xls,2.2 Ölkəyə gələn və gedən vətəndaşların nəqliyyat növlərindən istifadə üzrə sayı,avtomobil,2015,660.0
002_2.xls,2.2 Ölkəyə gələn və gedən vətəndaşların nəqliyyat növlərindən istifadə üzrə sayı,avtomobil,2016,701.2
002_2.xls,2.2 Ölkəyə gələn və gedən vətəndaşların nəqliyyat növlərindən istifadə üzrə sayı,avtomobil,2017,1089.6
002_2.xls,2.2 Ölkəyə gələn və gedən vətəndaşların nəqliyyat növlərindən istifadə üzrə sayı,avtomobil,2018,1130.8
002_2.xls,2.2 Ölkəyə gələn və gedən vətəndaşların nəqliyyat növlərindən istifadə üzrə sayı,avtomobil,2019,1268.2
002_2.xls,2.2 Ölkəyə gələn və gedən vətəndaşların nəqliyyat növlərindən istifadə üzrə sayı,avtomobil,2020,505.0
002_2.xls,2.2 Ölkəyə gələn və gedən vətəndaşların nəqliyyat növlərindən istifadə üzrə sayı,avtomobil,2021,385.6
002_2.xls,2.2 Ölkəyə gələn və gedən vətəndaşların nəqliyyat növlərindən istifadə üzrə sayı,avtomobil,2022,530.6
002_2.xls,2.2 Ölkəyə gələn və gedən vətəndaşların nəqliyyat növlərindən istifadə üzrə sayı,avtomobil,2023,565.7
002_2.xls,2.2 Ölkəyə gələn və gedən vətəndaşların nəqliyyat növlərindən istifadə üzrə sayı,avtomobil,2024,602.8
002_2.xls,2.2 Ölkəyə gələn və gedən vətəndaşların nəqliyyat növlərindən istifadə üzrə sayı,dəmir yolu,2006,204.4
002_2.xls,2.2 Ölkəyə gələn və gedən vətəndaşların nəqliyyat növlərindən istifadə üzrə sayı,dəmir yolu,2007,211.9
002_2.xls,2.2 Ölkəyə gələn və gedən vətəndaşların nəqliyyat növlərindən istifadə üzrə sayı,dəmir yolu,2008,322.8
002_2.xls,2.2 Ölkəyə gələn və gedən vətəndaşların nəqliyyat növlərindən istifadə üzrə sayı,dəmir yolu,2009,287.4
002_2.xls,2.2 Ölkəyə gələn və gedən vətəndaşların nəqliyyat növlərindən istifadə üzrə sayı,dəmir yolu,2010,312.1
002_2.xls,2.2 Ölkəyə gələn və gedən vətəndaşların nəqliyyat növlərindən istifadə üzrə sayı,dəmir yolu,2011,372.8
